Description,Gene,LB_copies_per_cell,LB_coef_of_var
Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1,ftsZ,7898,4.99
DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2,gyrB,1700,2.15
Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1,thrS,1935,1.35
NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,gdhA,1137,4.70
NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4,nuoG,3781,5.58
Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2,gapA,48645,3.03
Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1,purH,891,0.93
Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3,acnA,975,0.45
DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,polA,912,2.59
Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1,tnaA,44379,0.52
NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3,nuoC,3225,0.42
Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4,cysI,620,2.52
Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1,gltA,16361,1.35
Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2,glnA,7286,1.58
Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2,aldB,729,3.76
2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5,leuA,885,0.64
Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3,glcB,632,3.98
D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3,dld,449,11.68
Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,ompA,146530,4.56
ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1,atpA,23968,6.45
50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2,rplB,39858,2.74
Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4,proS,6443,4.08
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4,glmS,5271,6.28
Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1,iscS,12757,2.32
Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3,prlC,2706,5.33
Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2,nrdA,1236,2.56
Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2,ahpF,5161,7.39
Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3,glpD,3852,17.36
Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1,guaB,5909,3.34
Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1,rho,5934,2.64
ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1,ftsH,3956,5.54
S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2,metK,7068,3.26
Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4,cysJ,733,1.50
Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1,mdh,73162,1.32
Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1,livJ,1898,1.82
"6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",gnd,17386,1.01
DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1,rpoA,35102,8.16
Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1,nusA,10025,4.37
Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4,copA,632,11.40
D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1,mglB,20143,1.75
Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2,lysS,4837,1.49
Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2,metG,2572,3.14
Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5,metH,270,8.50
Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2,cysK,21811,5.27
Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2,fbaA,23422,2.77
Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1,ydgA,2257,2.49
GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2,typA,4316,8.33
Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2,fhuA,550,6.55
Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1,ppiD,1678,9.07
Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3,rnb,1224,3.11
Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3,glnS,1712,2.25
Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2,lpdA,30101,4.86
Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2,talB,15811,1.02
Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1,thrC,3501,4.87
Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1,yeaG,472,2.58
Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1,pgm,2354,5.86
Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1,pepA,1675,3.29
Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2,fadB,547,9.48
Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2,prc,621,1.38
Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1,cysN,374,2.49
Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2,pyrB,908,2.99
Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1,yahK,877,13.37
Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2,asnS,5818,3.96
Seryl-tRNA synthetase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1,serS,5806,3.06
Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1,malE,8460,0.91
Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) GN=ilvD PE=1 SV=5,ilvD,495,4.01
Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1,surA,2548,1.58
Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2,rnr,439,6.19
Uncharacterized protein ydiJ OS=Escherichia coli (strain K12) GN=ydiJ PE=4 SV=1,ydiJ,125,4.48
30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2,rpsB,71379,0.64
Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2,cirA,272,9.96
Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1,aspC,4145,5.60
Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) GN=sucD PE=1 SV=2,sucD,19013,0.70
Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) GN=sucC PE=1 SV=1,sucC,15855,1.56
Dihydroorotase OS=Escherichia coli (strain K12) GN=pyrC PE=1 SV=2,pyrC,1030,1.33
PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) GN=ptsG PE=1 SV=1,ptsG,1617,7.40
Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1,gltX,4337,2.51
Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1,degP,2586,3.36
Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3,argH,808,2.80
LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2,lptD,915,7.99
"D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1",gatY,11402,1.06
DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2,topA,890,4.01
Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3,asnB,828,7.11
Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1,argS,1457,3.04
ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) GN=clpA PE=1 SV=1,clpA,1474,2.81
Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2,bglX,324,5.35
3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1,fabB,23274,1.19
Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2,purA,13171,0.87
Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2,pheS,6584,2.37
ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2,clpX,5494,3.04
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1",gpmI,2064,1.75
ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) GN=hslU PE=1 SV=1,hslU,4825,3.14
Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2,accC,5352,1.60
Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2,fadE,189,1.86
CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2,pyrG,1991,2.01
Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1,sdhB,9036,3.28
Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2,trpE,269,9.95
"D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1",gatZ,12320,1.46
NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeA PE=1 SV=4,maeA,1348,0.44
Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2,mfd,130,6.08
Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1,ilvB,2174,3.84
Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3,gltD,323,3.40
Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1,fliY,3133,5.78
Phosphoserine aminotransferase OS=Escherichia coli (strain K12) GN=serC PE=1 SV=4,serC,3178,3.60
Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3,tolC,6584,2.85
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) GN=sucB PE=1 SV=2,sucB,15565,5.16
50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2,rplE,69275,5.91
Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1,talA,953,6.39
Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2,pckA,9848,5.24
Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1,zwf,1508,6.12
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2,accA,7972,1.29
Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2,lysC,383,2.35
Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1,hflK,2346,8.19
Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2,pdxB,801,5.71
Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2,plsB,370,10.01
Cation efflux system protein CusA OS=Escherichia coli (strain K12) GN=cusA PE=1 SV=2,cusA,204,10.03
Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1,xylA,556,5.29
T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1,tyrA,501,2.25
Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2,eno,40037,5.90
Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1,ompT,7843,5.46
Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3,argT,4553,3.72
Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2,fepA,222,3.31
Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1,fiu,377,1.03
NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) GN=nadE PE=1 SV=2,nadE,2222,5.63
Transketolase 1 OS=Escherichia coli (strain K12) GN=tktA PE=1 SV=5,tktA,7519,1.16
Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2,pepB,3891,4.73
Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain K12) GN=deoD PE=1 SV=2,deoD,18649,0.91
Alcohol dehydrogenase YqhD OS=Escherichia coli (strain K12) GN=yqhD PE=1 SV=1,yqhD,5796,12.37
tRNA-modifying protein ygfZ OS=Escherichia coli (strain K12) GN=ygfZ PE=1 SV=2,ygfZ,2457,2.54
Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4,dcp,411,2.22
Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1,pmbA,1789,7.75
Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain K12) GN=sthA PE=1 SV=5,sthA,2699,8.45
UvrABC system protein A OS=Escherichia coli (strain K12) GN=uvrA PE=1 SV=1,uvrA,228,5.55
2-methylcitrate synthase OS=Escherichia coli (strain K12) GN=prpC PE=1 SV=2,prpC,278,4.80
Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1,ompF,15901,3.61
50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2,rplA,76877,2.10
D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1,rbsB,20979,2.08
Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2,gltI,3664,3.09
PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1,mtlA,1626,12.04
ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1,hldD,4708,2.89
Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1,mreB,5376,1.04
Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1,acrA,4522,2.33
Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2,fabI,9391,6.39
Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4,argD,517,5.51
Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2,trpB,750,3.44
Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1,bamC,2346,1.99
Glutathione reductase OS=Escherichia coli (strain K12) GN=gor PE=1 SV=1,gor,1398,2.61
Adenylosuccinate lyase OS=Escherichia coli (strain K12) GN=purB PE=1 SV=1,purB,1442,7.47
Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2,hisS,2845,1.46
6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1,pfkA,1377,6.17
Glycine dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) GN=gcvP PE=1 SV=3,gcvP,1071,7.19
Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7,malP,442,2.06
Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1,lamB,2585,4.47
Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3,entF,32,4.45
3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2,leuC,559,6.12
Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3,metL,228,3.82
NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3,nuoF,2075,6.19
Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1,ompC,73854,6.19
Uncharacterized protein YncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1,yncE,1954,3.25
Triosephosphate isomerase OS=Escherichia coli (strain K12) GN=tpiA PE=1 SV=1,tpiA,7527,2.99
30S ribosomal protein S3 OS=Escherichia coli (strain K12) GN=rpsC PE=1 SV=2,rpsC,46854,7.99
"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1",aroG,1722,2.80
Phosphopentomutase OS=Escherichia coli (strain K12) GN=deoB PE=1 SV=1,deoB,5977,5.80
Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1,adk,8199,4.08
PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) GN=manX PE=1 SV=2,manX,2890,3.87
Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1,cysP,804,2.20
Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3,pykA,3343,3.44
Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3,glmM,2582,4.10
Succinate-semialdehyde dehydrogenase [NADP+] OS=Escherichia coli (strain K12) GN=gabD PE=1 SV=1,gabD,1258,2.59
NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2,ndh,1172,5.26
"5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1",metF,853,2.98
Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) GN=speA PE=1 SV=2,speA,1661,3.57
Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1,lepA,1579,4.22
Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1,ffh,1665,7.51
Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1,secD,879,1.84
Penicillin-binding protein activator LpoA OS=Escherichia coli (strain K12) GN=lpoA PE=1 SV=1,lpoA,757,4.39
ATP-dependent RNA helicase rhlB OS=Escherichia coli (strain K12) GN=rhlB PE=1 SV=2,rhlB,938,2.97
